Griffith;Feuillade;Bauer;Sjostrom;Chaplin;Weber;Guy;Western;Terror;Scifi;Animacion;Origenes1;Origenes2;Origenes3;Italia;Dinamarca;Alemania;IGM;Todas
;;;;;;;The Desert Man;;;;Soundy Mounts;Electrocution;Gira política de Madero y Pino Suárez;;;;;Bashful
;;;;;;;The Rose of the Rancho;;;;Lisburn;Kaiser Wilhelm arrival to Copenhagen 2.4;Fiesta de toros;;;;;A Christmas Carol
;;;;;;;Calamity Anne's Ward;;;;Départ de Dunmurry;Expérience du ballon dirigeable de M. Santos Dumont. II. Le ballon et son moteur;The Scream of Dolores, or The Independence of Mexico;;;;;East Lynne
;;;;;;;A Romance of the Western Hills;;;;Panorama du départ de Belfast;Next!;The Fatal Hand;;;;;Mary Jane's Mishap
;;;;;;;The Knickerbocker Buckaroo;;;;Panorama du palais de Westminster pris de la Tamise;A Total Accident;Ein Matrosenabenteuer in Hamburg;;;;;Adventures of William Tell
;;;;;;;The Girl of the Rancho;;;;Départ d’un bateau sur la Tamise;Ten Nights in a Barroom;Work Made Easy;;;;;Extraordinary Illusions
;;;;;;;Legal Advice;;;;Bateaux sur le lac de St-James Park;Nice: Panorama sur la ligne de Beaulieu à Monaco, III;The Great Breach;;;;;The Sunbeam
;;;;;;;Passing of the Oklahoma Outlaws;;;;Les dernières cartouches;Nice : panorama sur la ligne de Beaulieu à Monaco, II;The False Oath;;;;;Eleanor's Catch
;;;;;;;Two Men;;;;Signature du traité de Campo-Formio;Nice : le char des berceuses et de la chanson;Puss in Boots;;;;;Protéa
;;;;;;;Riders of Vengeance;;;;Faust : métamorphose de Faust et apparition de Marguerite;Biarritz : la plage et l'établissement;The Grateful Mice;;;;;Poor Jenny
;;;;;;;The Better Man;;;;Bataille d’enfants à coup d’oreillers;Les poupées;In the Golden Hollow;;;;;Friends
;;;;;;;Life on the Circle Ranch in California;;;;Une farce à la chambrée;Chirurgie mécanique;The Clay Industry in Sicily;;;;;Miss Dundee and Her Performing Dogs
;;;;;;;The Boss of the Lazy Y;;;;Scène chez l’antiquaire;Tentation de Saint-Antoine;Through Sicily;;;;;Just Rambling Along
;;;;;;;Hands Up!;;;;Chez le juge de paix;Le cambrioleur;Ride Through Vancouver, Canada;;;;;Fatty's Tintype Tangle
;;;;;;;Hearts and Saddles;;;;Napoléon et la sentinelle;Arlequin et Méphistophélès;Photographic Expressions;;;;;L'Homme Machine
;;;;;;;Gun Law;;;;Danseur russe;Une scène à l'octroi;The Balancing Act;;;;;An Impossible Balancing Feat
;;;;;;;Bare Fists;;;;Les boxeurs et le spectateur trop curieux puni;Le gendarme et les domestiques;Il Natale di Cretinetti;;;;;The Moonshine
;;;;;;;The Rustlers;;;;Nounou et soldats;Pierrot et la flûte enchantée;L’antre infernal;;;;;A Fantastical Meal
;;;;;;;Sandy Burke of the U-Bar-U;;;;Panorama de la ligne de Peterhof;Le prestidigitateur au café;The Star of Bethlehem;;;;;The Lily of Belgium
;;;;;;;In Northern Forests;;;;Revue de Krasnoïe Selo : pages;Substitutions;Viy;;;;;Dreams of Toyland
;;;;;;;Roping a Bride;;;;Revue de Krasnoïe Selo : infanterie;La marmite diabolique;The Village Fire Brigade;;;;;The Misfortunes of an Explorer
;;;;;;;Big Noise Hank;;;;Revue de Krasnoïe Selo : grenadiers;Le château hanté;The Maids' Strike;;;;;The Magic Book
;;;;;;;The Square Deal Man;;;;Revue de Krasnoïe Selo : artillerie de forteresse;Une place publique à Tokyo;Falsely Accused!;;;;;Caicedo (with Pole)
;;;;;;;Roped;;;;Revue de Krasnoïe Selo : cosaques;Old London Street Scenes;Au music-hall (At the Music Hall);;;;;Colleurs d'affiches
;;;;;;;The Girl of the Northern Woods;;;;Officiers russes attachés au président et journalistes;Boys Sliding;The Polite Lunatic;;;;;Apparitions
;;;;;;;Hell's Crater;;;;M. le président passant devant la compagnie d’honneur;Central High School, Calisthenics, Missouri Commission;Grängesberg;;;;;Bocal aux poissons-rouges
;;;;;;;Ashes of Hope;;;;Arrivée de M. le président à Saint-Pétersbourg;Parade of Characters (Asia in America) St. Louis Exposition;Falkenberg Market;;;;;Transformation by Hats
;;;;;;;Early Oklahoma;;;;Suite du cortège passant devant l’amiral Avellan;Typical Algerian 'Ouled Nails' Muslin Dance;Un attentat sur la voie ferrée;;;;;Fire Rescue Scene
;;;;;;;The Escape of Jim Dolan;;;;Arrivée de M. le président et du tsar à Peterhof;King Georg of Saxony in Chemnitz on 10.9.1902;In and Through China: China of the Present Day;;;;;New York: Broadway at Union Square
;;;;;;;A Woman's Fool;;;;Panorama de la ville pris d’un bateau;Midway of Charleston Exposition (South Carolina);Le nain détective;;;;;Snow White
;;;;;;;Two Little Rangers;;;;Anvers : arrivée en Bateau;Dewsbury v Manningham;La fille du faux-monnayeur;;;;;The Hoodlum
;;;;;;;The Signal Fire;;;;Gardes à pied : marche de front;Warrington v. St. Helens;Der Herzenknicker;;;;;The Night Before Christmas
;;;;;;;Broncho Billy's Narrow Escape;;;;Gardes à pied : exercices d’assouplissement;The Last Alarm;Die Macht des Walzers;;;;;Fatty's New Role
;;;;;;;A Bit of Blue Ribbon;;;;Gardes à pied : maniement d’armes;Le Roi Victor Emmanuel III se rendant au Sénat pour la cérémonie du Serment;L'agent gelé;;;;;'49–'17
;;;;;;;The Goddess of Lost Lake;;;;Gardes écossais à Hyde Park;Plate-forme mobile et train électrique;Taikoki judanme;;;;;The Marvelous Hen
;;;;;;;The Two Brothers;;;;Fête du jubilé de la reine d'Angleterre : le cortège, l’artillerie à cheval;Steam Whistle;The Girl Spy: An Incident of the Civil War;;;;;Idle Wives
;;;;;;;Sage Brush Tom;;;;Fête du jubilé de la reine d'Angleterre : le cortège, les cavaliers du Cap;Children in the Surf at Coney Island;Hulda's Lovers;;;;;The False Faces
;;;;;;;Pendaison à Jefferson City;;;;Fête du jubilé de la reine d'Angleterre : le cortège, l’artillerie de marine;Images of China;Way Down East;;;;;Opium
;;;;;;;Brother Bill;;;;Fête du jubilé de la reine d'Angleterre : le cortège, les gardes du corps et la musique des dragons;Tram Rides through Nottingham;Why Girls Leave Home;;;;;Mabel and Fatty's Wash Day
;;;;;;;Broncho Billy and the Rustler's Child;;;;Fête du jubilé de la reine d'Angleterre : le cortège, les ambassadeurs;The Dude and the Burglars;Richard III;;;;;The Musical Marvel
;;;;;;;Making a Man of Her;;;;Fête du jubilé de la reine d'Angleterre : la foule suivant le cortège;St George's Day Procession in Liverpool;Married for Millions;;;;;The Fall of Babylon
;;;;;;;Broncho Billy's Last Hold-Up;;;;Fête du jubilé de la reine d'Angleterre : Le cortège, les princes étrangers;Trafalgar Day in Liverpool;A Trip through Berlin;;;;;Rube and Mandy at Coney Island
;;;;;;;The Post Telegrapher;;;;Le Caire, défilé de l’infanterie;Arrest of Goudie;A Pretty Dutch Town;;;;;Panorama from Top of a Moving Train
;;;;;;;The Cowboy and the Schoolmarm;;;;Damas, Souk-el-Fakhra;Liverpool Church Parade and Inspection;The Enchantress;;;;;A Trap for Santa Claus
;;;;;;;The Girl of the Golden West;;;;Damas, une place;Liverpool As Seen from the Front of an Electric Car from the Pierhead to the Circus;Drama in Moscow;;;;;The Usurer
;;;;;;;An Arizona Wooing;;;;Beyrouth, Souk-Abou-el-Nassahr;Liverpool Street Scenes;For the Term of His Natural Life;;;;;Admiral Cigarette
;;;;;;;Local Color on the A-1 Ranch;;;;Jérusalem : la voie douloureuse;Danses cosmopolites à transformation;Le vainqueur de la course pédestre;;;;;New York, descente des voyageurs du pont de Brooklyn
;;;;;;;Tools of Providence;;;;Jérusalem : Porte de Jaffa, côté ouest;West Indian Girls in Native Dance;Le Violon;;;;;The Obsession
;;;;;;;Broncho Billy's Capture;;;;Jaffa : panorama en chemin de fer (collines);Grand Review;Robbery Under Arms;;;;;Panorama de l’arrivée à Aix-les-Bains pris du train (temps de neige)
;;;;;;;A Girl of the West;;;;Jaffa : panorama en chemin de fer;Bucking Broncos;Choosing the Wallpaper;;;;;Rip's Dream
;;;;;;;A Wife of the Hills;;;;Jaffa : débarquement d’une barque;The Unclean World;Cake Walk, Performed by Nouveau Cirque;;;;;The Love Tragedy of the Homunculus
;;;;;;;The Abernathy Kids' Rescue;;;;Jaffa : Marché, III;Splendid New Views of Bombay;Nature's Fairest;;;;;Prussian Culture
;;;;;;;Bad Buck of Santa Ynez;;;;Jaffa : Marché, II;Raid on a Coiner's Den;International Contest for the Heavyweight Championship: Squires vs. Burns, Ocean View, Cal., July 4th, 1907;;;;;The Perils of Pauline
;;;;;;;The Disciple;;;;Jaffa : arrivée d’un train;Photographing a Female Crook;The Incendiary;;;;;King John
;;;;;;;Across the Pacific;;;;Panorama des rives du Nil, [VIII];The Grebel's Floating Nests;Un drame en mer;;;;;Je Vous Aime
;;;;;;;When the West Was Young;;;;Panorama des rives du Nil, [VI];The 'Gator and the Pickaninny;The Gypsy;;;;;Panorama pendant l'ascension de la Tour Eiffel
;;;;;;;A Frontier Hero;;;;Panorama des rives du Nil, [V];Épopée napoléonienne - Napoléon Bonaparte;The Gypsy;;;;;Défilé de voitures de bébés à la pouponnière de Paris
;;;;;;;The Cowboy Millionaire;;;;Panorama des rives du Nil, [IV];The Strike;Mysterious Villa;;;;;The Christmas Dream
;;;;;;;The Tiger Man;;;;Panorama des rives du Nil, [III];Don Quichotte;A Visit to the Champagne Factory Mercier;;;;;Getting Mary Married
;;;;;;;Broncho Billy's Christmas Dinner;;;;Panorama des rives du Nil, [II];La Vie d'un joueur;Flower Parade 1906;;;;;The Violin Maker of Cremona
;;;;;;;The Life of a Cowboy;;;;Départ de Toukh;A Political Discussion;Chaussure trop étroite;;;;;The Magician from Arabia
;;;;;;;The Girl and the Outlaw;;;;Départ de Benha;The Illusionist;Cavalcade;;;;;Pan-American Exposition by Night
;;;;;;;The Stage Rustler;;;;Départ du Caire;The Burning Barn;Dancing Procession at Echternach;;;;;The Departure of a Great Old Man
;;;;;;;The Kentuckian;;;;Village de Sakkarah (cavaliers sur ânes);L'assassinat du ministre Plehve;Leben und Treiben auf dem Viehmarkt;;;;;Wild and Woolly
;;;;;;;Treat 'Em Rough;;;;Le Caire, Kasr-el-Nil;Panorama of Ealing from a Moving Tram;Impressions of Trier;;;;;Native Women Coaling a Ship at St. Thomas, D.W.I.
;;;;;;;The Masked Rider;;;;Le Caire, sortie du pont de Kasr-el-Nil;Retour du Cortège après le Couronnement: Le Roi;The Corpus Christi Procession in Trier;;;;;The Lost Battalion
;;;;;;;Poker at Dawson City;;;;Le Caire, sortie du pont de Kasr-el-Nil (chameaux);Rocking Gold in the Klondike;Domausgang am Ostersonntag;;;;;The War and the Dream of Momi
;;;;;;;Salomy Jane;;;;Le Caire, pont de Kasr-el-Nil;Love by the Light of the Moon;The Sheep Stealer;;;;;The Funeral of Metropolitan Emilianos of Silyvria
;;;;;;;The Law and the Outlaw;;;;Le Caire, rue Tath-el-Rab’;Women of the Ghetto Bathing;Naval Attack on Portsmouth;;;;;Cinderella or The Glass Slipper
;;;;;;;The Jaws of Justice;;;;Le Caire, rue Sharia-el-Nahassine;Lancaster, Pa., High School;Empire State Express, the Second, Taking Water on the Fly;;;;;Avenue de l'Opéra
;;;;;;;Entrada de Villa y Zapata a la Ciudad de México;;;;Le Caire, rue Ataba-el-Khadra;Revue à Longchamp : défilé de la Garde Républicaine et des pompiers;A Seaside Girl;;;;;The Undesirable
;;;;;;;Funeral de Emiliano Zapata;;;;Le Caire, rue Sayeda-Zeinab;The Living Picture;On a Good Old 5¢ Trolley Ride;;;;;Shooting the Chutes
;;;;;;;Over Silent Paths;;;;Le Caire, Place Soliman Pacha;Kingston Rowing Club at Practice;A Christmas Carol;;;;;Ten Ladies in an Umbrella
;;;;;;;Rough-Riding Romance;;;;Le Caire : Place de l'Opéra;Indsejlingen til Warnemünde 1903;A Dreadful Night;;;;;Lyon : débarquement d'une mouche
;;;;;;;Mr. Logan, U.S.A.;;;;Le Caire, Place du Gouvernement;Seashore Frolics;Une Partie de Tandem;;;;;The Virginian
;;;;;;;Baree, Son of Kazan;;;;Le Caire, Place de la Citadelle;Run of N.Y. Fire Department;Mystic Shriners' Day, Dreamland, Coney Island;;;;;National Red Cross Pageant
;;;;;;;Cupid's Round Up;;;;Bédouins avec chameaux sortant de l’octroi;President Roosevelt's Homecoming;Dixon-Wanamaker Expedition to Crow Agency;;;;;The Cry of the Children
;;;;;;;Western Blood;;;;Place Méhémet Ali;A Phenomenal Contortionist;The Death of Ivan the Terrible;;;;;Spring: Episode 1 - The Awakening of the Source / The Awakening of Nests
;;;;;;;Hopi Indians Dance for Theodore Roosevelt at [Walpi, Ariz.] 1913;;;;Embarquement;Parade of the Women Delegates, World's Fair;Jamestown Exposition;;;;;The Microscopic Dancer
;;;;;;;The Last Outlaw;;;;Arrivée du train de Ramleh;Parade of Mystic Shriners, Luna Park, Coney Island;Chrysanthemums;;;;;Berlin: Panoptikum
;;;;;;;Haceldama, or The Price of Blood;;;;Le khédive et son escorte;Opening Ceremonies, New York Subway, October 27, 1904;Building and Operating a British Railway;;;;;The Glue
;;;;;;;'Blue Blazes' Rawden;;;;Niagara, les rapides;Madison Square, New York;En Chine - Voyage sur le canal impérial;;;;;The Beggar of Cawnpore
;;;;;;;The Sagebrusher;;;;Métropolitain;The Eighth Wonder;The Son of a Slave;;;;;Le bon invalide et les enfants
;;;;;;;The Darkening Trail;;;;New York, Broadway et Reade Street;Panoramic View Near Mt. Golden on the Canadian Pacific R. R.;The Children of Edward IV;;;;;The Man Without a Future
;;;;;;;The Law of the Range;;;;Chicago, Michigan avenue;Ribe Cathedral Inauguration;From Sabina, Italy;;;;;Roosevelt's Rough Riders
;;;;;;;Burning Heart: An Indian Tale;;;;Boston, Tremont row;Daniel Dalsgaards Kaffeforretning;Evangeline;;;;;The Dull Sword
;;;;;;;A Debtor to the Law;;;;Boston, Atlantic avenue;Craftsmans' Parade 1904;A Slave to Drink;;;;;Poor Mother
;;;;;;;The Red Man and the Child;;;;Boston, Market street;Artillery at Jægerspris;The Grandmother;;;;;Luke Does the Midway
;;;;;;;The Bandit's Wager;;;;Boston, Washington street;Kongerevue paa Fælleden;Ma fille n'épousera qu'un médium;;;;;Scarlet Days
;;;;;;;Lightning Bryce;;;;Place Bel-air;Bathing Ladies at the Waterpark;Les fleurs fantastiques;;;;;The Wizard, the Prince and the Good Fairy
;;;;;;;The Three Godfathers;;;;Danse égyptienne;Tietgen's Funeral;Hantverksmässan i Falkenberg;;;;;The Iced Bullet
;;;;;;;The Dawn Maker;;;;Cascade;Hartmanns begravelse;At the Dentist;;;;;Stop Thief!
;;;;;;;The Heart of an Indian;;;;Artillerie (exercice du tir);The Johnnie and the Telephone;Den glada änkan;;;;;American Aristocracy
;;;;;;;On the Night Stage;;;;Hallebardiers de la reine;Hyde Park School Room 2, Missouri Commission;Les éléphants de l'Inde;;;;;Arroseur et arrosé, III
;;;;;;;Arizona;;;;Distribution des vivres aux soldats;Hyde Park School Graduating Class, Missouri Commission;Pédalard boit l'obstacle;;;;;The Hayseed
;;;;;;;The Bandit of Point Loma;;;;Cyclistes militaires;The Bustle in the Narrow Door;Une lettre pressée;;;;;The Return to Champs-Élysées
;;;;;;;My Lady Robin Hood;;;;Défilé du génie;From Council Bluffs to Omaha;The Mutiny on the Potemkin;;;;;The Anarchist's Wife
;;;;;;;Grand Review;;;;Lanciers de la reine : défilé;Queen Alexandra's Arrival to Toldboden;Yellow Peril;;;;;The Spoilers
;;;;;;;Bucking Broncos;;;;Souk el Bey;A Trip to Salt Lake City;The Man and His Bottle;;;;;Nugget Jim's Pardner
;;;;;;;Parade of Buffalo Bill's Wild West Show, No. 2;;;;Marché aux légumes;The Hero of Liao-Yang;A Juvenile Scientist;;;;;Die närrische Fabrik
;;;;;;;Jubilo;;;;Marché aux poissons;The Brooklyn Handicap, 1904;Burnham Beeches;;;;;A Corpse Living
;;;;;;;Buffalo Bill;;;;Place Bab-Souika;Fighting the Flames, Dreamland;Ten Wives For One Husband;;;;;The Conqueror
;;;;;;;The Taking of Luke McVane;;;;Rue El-Halfaouine;High School Field Exercises, Missouri Commission;The Story of Treasure Island;;;;;The Darling of the CSA
;;;;;;;Gaucho Nobility;;;;Porte de France;Opening Ceremonies, St. Louis Exposition;A Trip to the White Sea Fisheries;;;;;The Mormon
;;;;;;;The Smuggler;;;;Rue et porte Bab-el-Khadra;Basket Ball, Missouri Valley College;Animated Cotton;;;;;Sioux Ghost Dance
;;;;;;;Broncho Billy's Redemption;;;;Halte à la gare;Judge Alton B. Parker & Mayor McClellan at Esopus;Chien jaloux;;;;;The Lesson
;;;;;;;The Adventures of Buffalo Bill;;;;Interview Between Napoleon and the Pope;Kindergarten Ball Game;Culture et industrie du tabac en Malaisie;;;;;Yankee Doodle in Berlin
;;;;;;;Unwritten Law of the West;;;;Rue de France;Opening the Williamsburg Bridge;La femme doit suivre son mari;;;;;Strongheart
;;;;;;;The Rattlesnake;;;;Rue Sidi-Bou-Medine;Auto Boat Race on the Hudson;The Tribulations of a Pork Butcher;;;;;The Secret of Delft
;;;;;;;The Sheriff of Stone Gulch;;;;Rue Mascara;Personal;Two Naughty Boys;;;;;Capture of Boer Battery
;;;;;;;Golden Rule Kate;;;;Marché arabe;Court Ladies Bathing;Un mariage en Auvergne;;;;;A Reckless Romeo
;;;;;;;The Pilgrim;;;;Cherbourg : débarquement des souverains russes;The Great Toronto Fire, Toronto, Canada, April 19, 1904;A Trip Through British North Borneo;;;;;What Drink Did
;;;;;;;The Pitch o' Chance;;;;Gardes à pied : exercices à la baïonnette;Opening of the Drill Hall in Accrington by General Baden-Powell;Le thermomètre de l'amour;;;;;A Clever Dummy
;;;;;;;Two People;;;;Chez le cordonnier;Meet Me at the Fountain;The King Amuses Himself;;;;;A Spiritualist Photographer
;;;;;;;The Luck of Roaring Camp;;;;II. La fuite en Égypte;Ice Skating in Central Park, N.Y.;The Violin Maker of Cremona;;;;;Rip Leaving Sleepy Hollow
;;;;;;;Mexican Filibusters;;;;Voyageur et voleurs;Annual Baby Parade, 1904, Asbury Park, N.J.;A Conquest;;;;;The Marvellous Wreath
;;;;;;;The Sergeant;;;;Dentiste;Easter Sunday, Atlantic City Boardwalk;Financial Promise;;;;;A Veterinary Station
;;;;;;;The Two Gold Diggers;;;;Cinghalais : danse des couteaux, III;Mining Operations, Pennsylvania Coal Fields;The Legend of Prometheus;;;;;Burning Daylight: The Adventures of 'Burning Daylight' in Alaska
;;;;;;;The Railway of Death;;;;Cinghalais : danse des couteaux, II;Driving Cattle to Pasture;The Tunnel Workers;;;;;La Canebière
;;;;;;;The Great Train Robbery;;;;Cinghalais: danse des couteaux, I;Labor Day Parade;The Silver Wedding;;;;;Pierrette's Escapades
;;;;;;;Arms and the Gringo;;;;Danse tarentelle à Sorrente;Battle of Chemulpo Bay;The Paymaster;;;;;Help! Help!
;;;;;;;Broncho Billy and the Schoolmistress;;;;Passage d'un tunnel en chemin de fer (pris de l'arrière du train);Annual Parade, New York Fire Department;A Kentucky Feud;;;;;Dranem Performs The True Jiu-Jitsu
;;;;;;;Alkali Ike's Auto;;;;Sauts périlleux en long;Herding Horses Across a River;The Girls and Daddy;;;;;The Scheming Gambler's Paradise
;;;;;;;The Mother of the Ranch;;;;Lutteurs javanais;Canoeing on the Charles River, Boston, Mass.;Willie and Tim in the Motor Car;;;;;Fire!
;;;;;;;The Bank Robbery;;;;Danse javanaise;Testing a Rotary;Caught by Wireless;;;;;As Seen Through a Telescope
;;;;;;;From Leadville to Aspen: A Hold-Up in the Rockies;;;;Arrivée de la garde au palais royal, II;Taping Coils;An Arcadian Elopement;;;;;The Stranglers
;;;;;;;The Flaming Arrow;;;;Arrivée de la garde au palais royal, I;Tapping a Furnace;L'Invention du professeur Brick-à-Brack;;;;;Mr. Edison at Work in His Chemical Laboratory
