Title,Year,Review
An American Tail,1986,5 puntos con 1 menciones
Bad Timing,1980,5 puntos con 1 menciones
Boat People,1982,5 puntos con 1 menciones
City of Lost Souls,1983,5 puntos con 1 menciones
Crime Wave,1985,5 puntos con 1 menciones
Desert Hearts,1985,5 puntos con 1 menciones
Diva,1981,5 puntos con 1 menciones
Fertile Memory,1980,5 puntos con 1 menciones
Grown-Ups,1980,5 puntos con 1 menciones
Handsworth Songs,1986,5 puntos con 1 menciones
I... Dreaming,1988,5 puntos con 1 menciones
Johnny Chicano,1981,5 puntos con 1 menciones
Mammame,1986,5 puntos con 1 menciones
Moral,1982,5 puntos con 1 menciones
Near Death,1989,5 puntos con 1 menciones
On Top of the Whale,1982,5 puntos con 1 menciones
Panorama,1982,5 puntos con 1 menciones
Re-Wind,1988,5 puntos con 1 menciones
The Heifer,1985,5 puntos con 1 menciones
The Postman Always Rings Twice,1981,5 puntos con 1 menciones
The Serpent and the Rainbow,1988,5 puntos con 1 menciones
The Tree and the Cat,1983,5 puntos con 1 menciones
They All Laughed,1981,5 puntos con 1 menciones
Threads,1984,5 puntos con 1 menciones
Wedding in Galilee,1987,5 puntos con 1 menciones
Why Has Bodhi-Dharma Left for the East?,1989,5 puntos con 1 menciones
Yeelen,1987,5 puntos con 1 menciones
Zigeunerweisen,1980,5 puntos con 1 menciones
Legend of Tianyun Mountain,1980,4 puntos con 4 menciones
Moonlighting,1982,4 puntos con 3 menciones
Red Sorghum,1988,4 puntos con 3 menciones
2084: Video Clip for the Trade Unions' Reflection and Pleasure,1984,4 puntos con 2 menciones
A Chinese Ghost Story,1987,4 puntos con 2 menciones
Beetlejuice,1988,4 puntos con 2 menciones
Chocolat,1988,4 puntos con 2 menciones
Gauche the Cellist,1982,4 puntos con 2 menciones
My Left Foot: The Story of Christy Brown,1989,4 puntos con 2 menciones
Something Wild,1986,4 puntos con 2 menciones
The Power of Emotion,1983,4 puntos con 2 menciones
Under the Sun of Satan,1987,4 puntos con 2 menciones
Vengeance Is Mine,1984,4 puntos con 2 menciones
Atlantic City,1980,4 puntos con 1 menciones
Beijing Watermelon,1989,4 puntos con 1 menciones
Beyond the Walls,1985,4 puntos con 1 menciones
Body Heat,1981,4 puntos con 1 menciones
Christine,1983,4 puntos con 1 menciones
Christine,1987,4 puntos con 1 menciones
Comrades,1986,4 puntos con 1 menciones
Dirty Dancing,1987,4 puntos con 1 menciones
Documenteur,1981,4 puntos con 1 menciones
Empty Suitcases,1980,4 puntos con 1 menciones
Ferris Bueller's Day Off,1986,4 puntos con 1 menciones
Final Victory,1987,4 puntos con 1 menciones
"Freeze, Die, Come to Life",1990,4 puntos con 1 menciones
Friendly Witness,1989,4 puntos con 1 menciones
"Gary Cooper, Who Art in Heaven",1980,4 puntos con 1 menciones
Gestures and Fragments,1983,4 puntos con 1 menciones
Illuminated Texts,1982,4 puntos con 1 menciones
Landscape (for Manon),1987,4 puntos con 1 menciones
Les tournesols,1982,4 puntos con 1 menciones
Life and Nothing But,1989,4 puntos con 1 menciones
Lost in New York,1989,4 puntos con 1 menciones
Luz's Motives,1985,4 puntos con 1 menciones
Magino Village: A Tale,1987,4 puntos con 1 menciones
Manoel’s Destinies,1984,4 puntos con 1 menciones
Maurice,1987,4 puntos con 1 menciones
Moscow Elegy,1987,4 puntos con 1 menciones
My American Uncle,1980,4 puntos con 1 menciones
My Sweet Little Village,1985,4 puntos con 1 menciones
My Weekend,1987,4 puntos con 1 menciones
Permanent Vacation,1980,4 puntos con 1 menciones
Pools,1981,4 puntos con 1 menciones
Pure Blood,1982,4 puntos con 1 menciones
Santa Fe,1985,4 puntos con 1 menciones
School on Fire,1988,4 puntos con 1 menciones
Sodom,1989,4 puntos con 1 menciones
Sync Touch,1981,4 puntos con 1 menciones
Tabula Rasa,1989,4 puntos con 1 menciones
Taxi zum Klo,1980,4 puntos con 1 menciones
The Big Easy,1986,4 puntos con 1 menciones
The Charterhouse of Parma,1982,4 puntos con 1 menciones
The Hidden,1987,4 puntos con 1 menciones
The Iconographic Journey: The Martyrdom of Saint Sebastian,1989,4 puntos con 1 menciones
The Woman in Black,1989,4 puntos con 1 menciones
The Wounded Man,1983,4 puntos con 1 menciones
True Love,1989,4 puntos con 1 menciones
Unconscious London Strata,1981,4 puntos con 1 menciones
Vampires in Havana,1985,4 puntos con 1 menciones
Why Is the Sky Blue?,1981,4 puntos con 1 menciones
Mystery Train,1989,3 puntos con 3 menciones
Arabesques on the Pirosmani Theme,1985,3 puntos con 2 menciones
Heathers,1989,3 puntos con 2 menciones
Iguana,1988,3 puntos con 2 menciones
In a Glass Cage,1986,3 puntos con 2 menciones
Jeune femme à sa fenêtre lisant une lettre,1983,3 puntos con 2 menciones
Little Shop of Horrors,1986,3 puntos con 2 menciones
Mala Noche,1986,3 puntos con 2 menciones
Pieces,1982,3 puntos con 2 menciones
Police,1985,3 puntos con 2 menciones
"The Eyes, the Mouth",1982,3 puntos con 2 menciones
The Last Metro,1980,3 puntos con 2 menciones
The Mission,1986,3 puntos con 2 menciones
The Name of the Rose,1986,3 puntos con 2 menciones
The Outsiders,1983,3 puntos con 2 menciones
Top Secret!,1984,3 puntos con 2 menciones
Violent Cop,1989,3 puntos con 2 menciones
1857 (Fool's Gold),1981,3 puntos con 1 menciones
A Film That Uses a Cheap Wine Glass to Consider Light,1989,3 puntos con 1 menciones
A Girl in Summer,1986,3 puntos con 1 menciones
A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,3 puntos con 1 menciones
A Room with a View,1986,3 puntos con 1 menciones
A Summer at Grandpa's,1984,3 puntos con 1 menciones
A Sunday in the Country,1984,3 puntos con 1 menciones
A Visitor to a Museum,1989,3 puntos con 1 menciones
American Pop,1981,3 puntos con 1 menciones
Amor,1980,3 puntos con 1 menciones
Anselmo and the Women,1986,3 puntos con 1 menciones
Ashik Kerib,1988,3 puntos con 1 menciones
Be Pretty and Shut Up!,1981,3 puntos con 1 menciones
Bent Time,1983,3 puntos con 1 menciones
Blind,1986,3 puntos con 1 menciones
Bloody Moon,1981,3 puntos con 1 menciones
Blowin' in the Wind,1985,3 puntos con 1 menciones
Book of Days,1989,3 puntos con 1 menciones
"Bound for the Fields, the Mountains, and the Seacoast",1986,3 puntos con 1 menciones
Café Flesh,1982,3 puntos con 1 menciones
Cap Canaille,1983,3 puntos con 1 menciones
Caprice,1986,3 puntos con 1 menciones
Creepshow,1982,3 puntos con 1 menciones
Demons,1985,3 puntos con 1 menciones
Diary,1983,3 puntos con 1 menciones
Emergency Kisses,1989,3 puntos con 1 menciones
Fame,1980,3 puntos con 1 menciones
Gallipoli,1981,3 puntos con 1 menciones
Gamelan,1981,3 puntos con 1 menciones
Gunbuster,1988,3 puntos con 1 menciones
He Stands in a Desert Counting the Seconds of His Life,1986,3 puntos con 1 menciones
Het vertraagde vertrek,1983,3 puntos con 1 menciones
Jane B. by Agnès V.,1988,3 puntos con 1 menciones
King of the Children,1987,3 puntos con 1 menciones
Losing Ground,1982,3 puntos con 1 menciones
Luminare,1986,3 puntos con 1 menciones
Made in Heaven,1987,3 puntos con 1 menciones
Mambru Went to War,1986,3 puntos con 1 menciones
My Friend Ivan Lapshin,1985,3 puntos con 1 menciones
Om Dar-B-Dar,1988,3 puntos con 1 menciones
Passage du désir,1988,3 puntos con 1 menciones
Perfect Strangers,1984,3 puntos con 1 menciones
Re-Animator,1985,3 puntos con 1 menciones
Sacré-Coeur,1983,3 puntos con 1 menciones
Shit Saturday,1988,3 puntos con 1 menciones
Slumber Party Massacre II,1987,3 puntos con 1 menciones
Sol y sombra,1988,3 puntos con 1 menciones
Son of the White Mare,1981,3 puntos con 1 menciones
South Slope: What Love Tells Me,1980,3 puntos con 1 menciones
The Cyclist,1989,3 puntos con 1 menciones
The Eye Above the Well,1988,3 puntos con 1 menciones
The Great Mouse Detective,1986,3 puntos con 1 menciones
The Herdsman,1982,3 puntos con 1 menciones
The Insomniac on the Bridge,1985,3 puntos con 1 menciones
The Khayal Saga,1989,3 puntos con 1 menciones
The Secret of NIMH,1982,3 puntos con 1 menciones
There Were Seven Simeons,1989,3 puntos con 1 menciones
Tokyo Pop,1988,3 puntos con 1 menciones
Unfinished Diary,1982,3 puntos con 1 menciones
When Father Was Away on Business,1985,3 puntos con 1 menciones
Yume-Chiyo,1985,3 puntos con 1 menciones
Efpsychi,1983,2 puntos con 2 menciones
Our Century,1983,2 puntos con 2 menciones
Pale Rider,1985,2 puntos con 2 menciones
