;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
277;A Sweet Revenge;;;;;;;A Double Winning;;;W.S.S. Thriftettes;Bains en mer;Women Getting on the Steam Tram;The Slave Market;Rapallo;Copenhagen by Night;Wifey's Charms;
278;Wanted, a Child;;;;;;;The Sheriff's Dilemma;;;The Phable of a Busted Romance;Attelage d'un camion;A Couple in a French Restaurant;Police Chasing Scorching Auto;Il supplizio dei leoni;A Wasted Life;Das Gesetz der Mine;
279;The Children's Friend;;;;;;;His Desperate Deed;;;Krazy Kat Goes A-Wooing;On the Roofs;Arrival of the British Court Envoys in Tehran;The Visit of the Khedive Abbas Helmi to the Scientific Institute of the Sidi AboulAbbas Mosque;Othello;Dr. Nicholson and the Blue Diamond;Die Musikantenmädel;
280;Mrs. Jones Entertains;;;;;;;The Heart of a Bandit;;;Krazy Kat and Ignatz Mouse at the Circus;Feeding the Doves;Recreation of a Hunting Scene on the Roof;Die schönsten Wasserfälle der Ostalpen;The Masked Amazon;The Bear Tamer;Die gute Partie;
281;The Conscience of Hassan Bey;;;;;;;The World Apart;;;The Artist's Dreams;The Cavalier's Dream;Clowns Comedy Perfomance in the Palace;A Priest's Conscience;Tripoli;;Der weiße Schrecken;
282;Just Gold;;;;;;;The Golden Fetter;;;Down on the Phoney Farm;New York, Broadway;Riding Servants Cross the River;Chemineau chemine;Sunbeam;;Ariadne;
283;In the Aisles of the Wild;;;;;;;A Yankee from the West;;;Prehistoric Poultry;Serpentine Dance by Annabelle;Hooligan in Jail;King Frederik VIII Visits Iceland;Film Correspondence From the Theater of the Italo-Turkish War;;Elly und Nelly;
284;The Lady and the Mouse;;;;;;;The Love Mask;;;Action Man - Past Performance;Mexico, Spanish Street Dance;Cinematographic Studies Carried out on Impatiens, Vicia, Tulipa, Mimosa and Desmodium by W. Pfeffer (1898-1900);Alþingismannaförin;I corazzieri italiani;;Schloss am See;
285;The Last Deal;;;;;;;The Joke on Yellentown;;;A Good Beer;Sortie d'usine, [IV];Mer;La flûte enchantée;Tontolini è triste;;Sumurûn;
286;A Woman Scorned;;;;;;;Sierra Jim's Reformation;;;;Enfants jouant aux billes;Jésus succombe sous sa croix;L'Ascension du Mont Blanc;Za-la-Mort;;Der Märchenwald;
287;Love in the Hills;;;;;;;'Cross the Mexican Line;;;;Children Digging for Clams;Jésus parmi les docteurs;Göta Elf-katastrofen;Futurist Life;;Transport of the U.T. Visitors' Christmas Warrior Donations;
288;The God Within;;;;;;;Love's Western Flight;;;;The Arrival of a Train at La Ciotat [non-catalogued];Jésus et la samaritaine;Un viaggio in una stella;The Yellow Triangle;;Ein Freundschaftsdienst;
289;Bobby the Coward;;;;;;;The Indian Raid;;;;Balançoires;Jésus est présenté au peuple;Bizzarrie di una ruota;The Grey Rats;;Die 10. Isonzoschlacht;
290;The Broken Doll;;;;;;;Kit, the Arkansaw Traveler;;;;Bathing in a Stream;Jésus chassant les vendeurs du temple;The Coroner's Mistake;The Fear of Zeppelins;;Das wandernde Herz;
291;Examination Day at School;;;;;;;The Brand;;;;La Nageuse;Jésus au jardin des oliviers;Return of His Majesty from La Albufera;Metempsychosis;;Alraune and the Golem;
292;The Iconoclast;;;;;;;Red Eagle's Revenge;;;;Le Jongleur;Cervino 1901;Voyage of His Majesty to La Albufera.;The Island of Rhodes;;Die Heimkehr des Odysseus;
293;A Mohawk's Way;;;;;;;Grey Eagle's Revenge;;;;Alarm der Feuerwehr;The Prince of Darkness;Solar Eclipse;For Napoleon and France;;Mütter, verzaget nicht;
294;Little Angels of Luck;;;;;;;Yellow Bird;;;;Milan, place du Dôme;Weighing the Baby;Valencia's Flowers Battle;The Immigrant;;Das Ende vom Liede;
295;A Summer Idyll;;;;;;;The Girl and the Sheriff;;;;Entrée d'une noce à l'église;A Mighty Tumble;Dr. William Gorgas;La banda delle cifre;;Nordlandrose;
296;Her Father's Pride;;;;;;;The Man Within;;;;Woman Walking Downstairs;M. Lavelle, Physical Culture, no. 1;The Gentleman Burglar;Salambo;;The End of Arsène Lupin;
297;Two Little Waifs;;;;;;;The Tigers of the Hills;;;;Arrival of a Train at Vincennes Station;Ringling Bros. Circus Parade;The Will;Attila;;Sherlock Holmes contra Professor Moriarty;
298;The Banker's Daughters;;;;;;;A Hopi Legend;;;;Ramassage du linge;Man Overboard! 'Indiana';Waiting at the Church;Beauty Contest Among Children at Turin;;Arsène Lupin versus Sherlock Holmes;
299;A Child's Stratagem;;;;;;;Retribution;;;;Der Jongleur;Bi-centennial Jubilee Parade;Galileo Galilei;Bloomer Smokes Opium;;Der Hubertusjagdritt in Pozsony der k. u. k. Artilleriebrigade;
300;His Sister-In-Law;;;;;;;The Mystery of Yellow Aster Mine;;;;The Woodcutter, a Music Lover;Une nuit terrible;Een Jongmensch heeft zich opgehangen aan een boom in 't Muiderwoud;The Miracle Water;;Der Militärballon Parsifal I in Pozsony;
301;The Diamond Star;;;;;;;An Even Exchange;;;;Stockholm, entrée de l'exposition;L'illusioniste;Solser and Hesse;La nuova cameriera è troppo bella;;Die Polizeihundprüfung am 11. Juni in Pozsony;
302;As the Bells Rang Out!;;;;;;;Man's Duty;;;;McKinley at Home, Canton, Ohio;Fantaisie cycliste;Miss Sherlock Holmes;Lea and the Bobbin;;Die Platzmusik in Pozsony am 10. Mai;
303;A Child's Faith;;;;;;;The Abandoned Well;;;;The Haunted Castle;Battleship 'Odin' with All Her Guns in Action;The Infernal Cave;Come fu che l'ingordigia rovinò il Natale a Cretinetti;;Die grosse Pozsonyer Steeple-Chase vom 2. Mai 1911;
304;A Midnight Cupid;;;;;;;The Ranchero's Revenge;;;;Halte à la gare;Przygoda dorożkarza;Please Conductor, Don't Put Me Off the Train;The Devil on Two Sticks;;Die lachende Seele;
305;The Purgation;;;;;;;The Tenderfoot's Money;;;;Apotheose;Grand Consecration of the Emperor Franz I. Bridge;The Freak Barber;Acrobati comici;;Raimundus und das Hexlein;
306;The Impalement;;;;;;;Pride of Lonesome;;;;Chickens Scared by Torpedo;Early Superimpositions;Sheep Coming Through Chute, Humuula Ranch, Hawaii;Il Finto Storpio;;Nonne und Tänzerin;
307;Thou Shalt Not;;;;;;;Kitty and the Cowboys;;;;Dresden, August-Brücke;Japanese Funeral;The Girl Nihilist;Madame Guillotine;;Die Feste des Fürsten von Ferrara;
308;The Converts;;;;;;;Calamity Anne Takes a Trip;;;;Stuttgart : 26ème dragons. Pied à terre;Japanese Schoolchildren;Fête de gondoles à Venise;Filibus;;Das Gift der Medici;
309;The Man;;;;;;;The Guerilla Menace;;;;13e hussards : défilé par douze;The bear and the Sentry;The Hemp Industry;By the Cross;;Die Gräfin von Navarra;
310;His Last Burglary;;;;;;;Hearts and Horses;;;;Les boxeurs et le spectateur trop curieux puni;Buxton Skyline;Nellie, the Beautiful Housemaid;Cinema Tragedy at Carnival Time;;Die Kaukasierin;
311;The Reformers;;;;;;;On the Border;;;;Damas, Souk-el-Fakhra;New York's New Subway;Madame is Athletic;The Rape of the Sabines;;Seifenblasen;
312;Comata, the Sioux;;;;;;;A Modern Snare;;;;Place Bab-Souika;Arrival of the Stage at Wawona Hotel en Route to Yosemite;The Flea;Tweedledum Wants to Be a Jockey;;Baronin Kammerjungfer;
313;Unexpected Help;;;;;;;Youth and Jealousy;;;;Marble arch;El regimiento ciclista;Only a Dart;Who Was the Culprit?;;Ein Blatt im Sturm...doch das Schicksal hat es verweht;
314;Two Men of the Desert;;;;;;;The Tattooed Arm;;;;IV. Trahison de Judas;La revista de la escuadra argentina;National parade to celebrate the annexation of Congo to Belgium;Bloomer's Tragedy;;Mutter;
315;The Girls and Daddy;;;;;;;When Jim Returned;;;;Pêcheurs raccommodant les filets;Pica, pica Compadrito;The Disintegrated Convict;Robinet: Cyclist;;Die Berliner Range;
316;Sunshine Sue;;;;;;;Bill Sharkey's Last Game;;;;Woman Picking Up Skirt;Escenas callejeras;The Scholar's Breakfast;Dr. Isnardi: Amputation;;Die wilde Jagd;
317;The Long Road;;;;;;;The Iron Strain;;;;Brighton Street Scene;Los políticos;María Rosa;The Butterflies;;Der schwarze Jack;
318;Fate's Interception;;;;;;;Love and the Law;;;;Cafe Brawl;Tango argentino;Andreas Hofer;Cretinetti troppo bello;;Zwangsliebe im Freistaat;
319;Just Like a Woman;;;;;;;The Outcast;;;;Repas en famille;Bohemia Criolla;The New Gallants of the Park's Cowshop;The Race for a Monkey;;Die Spinne;
320;An Indian Summer;;;;;;;An Indian Outcast;;;;The Oil Gush in Balakhany;Monsieur Et Madame Sont Pressés;Faust;Salomé;;Mayerling;
321;The Informer;;;;;;;The Cowboy Guardians;;;;The Twins' Tea Party;La Chasse Est Ouverte;Poison or Whiskey;Tontolini and Hypnotism;;Der Fürst der Nacht;
322;Fate;;;;;;;A Daughter of the Redskins;;;;The Pickaninny Dance from the “Passing Show”;Charlemont;西太后;The Delights of the Shoot;;Die Faust des Schicksals;
323;A Decree of Destiny;;;;;;;The Siren;;;;Komisches Reck;Le Mauvais Riche;Le portrait de Mireille;King Lear;;Verlorene Töchter;
324;His Wife's Visitor;;;;;;;So-Jun-Wah and the Tribal Law;;;;Tsar et tsarine entrant dans l'église de l'Assomption;Ride On A Tram Car Through Belfast;Automobile Races at Ormond, Fla.;The Beauties of Italy, Triptych of Picturesque Views;;Die schwarze Katze 1. Teil;
325;Three Sisters;;;;;;;The Tribal Law;;;;New York. Arrival of a Train at Battery Place;Exit Of White Collar Workers;Across the Subway Viaduct, New York;Miss Tweedledum;;Das rollende Hotel;
326;A Plain Song;;;;;;;Cupid's Assistants;;;;Mounted Police Charge;Immagini Dalla Cina 1901-1904;"The Faithful Dog; or, True to the End";Robinet boxeur;;Unsühnbar;
327;Simple Charity;;;;;;;Sharps and Chaps;;;;The Burning Stable;Marie-Antoinette;Le secret de la sorcière;Cinderella;;Der Leibeigene;
328;Waiter No. 5;;;;;;;The Lady Barber of Roaring Gulch;;;;Départ en voiture;Pont Des Soupirs;Bat Serpentine Dancer;For the Father;;Im Zeichen der Schuld;
329;The Sorrows of the Unfaithful;;;;;;;Her Friend, the Doctor;;;;Poultry-Yard;Roma Moderna y Antigua;Otello;The Extraordinary Adventures of Saturnino Farandola;;Theophrastus Paracelsus;
330;The Call to Arms;;;;;;;Those Lovesick Cowboys;;;;Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses;Over The Tay Bridge On An Express Train;Starving Artist;Christus;;Die Hochzeit der Cassilda Mediadores;
331;A Child's Impulse;;;;;;;The Girls and the Chaperone;;;;Serpentine Dance by Mme. Bob Walter;Factory Gate Exit;A Country Girl's Seminary Life and Experiences;Bloomer Bottled Up;;Der Ring des Schicksals;
332;Muggsy's First Sweetheart;;;;;;;When the Heart Calls;;;;Les souverains et les invités se rendant au sacre (escalier rouge);Sedgwick’s Bioscope Showfront At Pendlebury Wakes;First Night Out;Fabiola;;Das Kind des Anderen;
333;Lillian Gish in a Liberty Loan Appeal;;;;;;;Brave Heart's Hidden Love;;;;Kamarinskaja;Quo Vadis;Le Grand Prix de L'Automobile Club de France;Anita Garibaldi;;Der Kampf der Gewalten;
334;In the Season of Buds;;;;;;;Early Days in the West;;;;Dreyfus Meets His Wife at Rennes;La Poupée;Nick Carter: Episode 6 - The Bandits in Evening Dress;;;Ausrufung der Republik in Wien;
335;A Rich Revenge;;;;;;;The Indian Raiders;;;;Lioness Walking;Danse basque;Nick Carter: Episode 5 - The Imprints;;;Auf der Höhe;
336;The Twisted Trail;;;;;;;At Cripple Creek;;;;Querelle de matelassières;Ekoin Natsu-basho Ozumo;Nick Carter: Episode 4 - The Bank Burglar;;;Die Zigeunerbaronin;
337;The Englishman and the Girl;;;;;;;Indian Romeo and Juliet;;;;Rats and Terrier No. 2;Hiawatha, the Messiah of the Ojibway;"Nick Carter: Episode 3 - The Coiners; or, Catching the Counterfeiters";;;Carl und Carla;
338;The Woman from Mellon's;;;;;;;Humanity;;;;Le Caire, rue Ataba-el-Khadra;Courses d’ensemble des régates (rameurs debouts);Nick Carter: Episode 2 - The Jewel Affair;;;Durchlaucht Hypochonder;
339;The Heart of an Outlaw;;;;;;;Her Lesson;;;;Belfast, Pompiers : Alerte;Fête des fleurs, II;Svend Dyrings hus;;;Das große Los;
340;To Save Her Soul;;;;;;;A Christmas Revenge;;;;Wrestling;Fête des fleurs, I;The Non-Stop Motor Bicycle;;;Der Eremit;
341;Through the Breakers;;;;;;;The Escape of Broncho Billy;;;;Black Diamond Express;Promenade du dragon à Cholon, V;Three-Fingered Kate: Her Second Victim, the Art Dealer;;;Das Geschlecht derer von Ringwall;
342;The Trick that Failed;;;;;;;Broncho Billy's Love Affair;;;;The First Sleigh-Ride;Promenade du dragon à Cholon, IV;Facundo Quiroga;;;Das Maskenfest des Lebens;
343;A Midnight Adventure;;;;;;;The Indian's Narrow Escape;;;;Annabelle Sun Dance;Promenade du dragon à Cholon, III;Barn i kirke;;;Christa Hartungen;
344;What's Your Hurry?;;;;;;;Broncho Billy Evens Matters;;;;Leone XIII;Promenade du dragon à Cholon, II;Peace Envoys at Portsmouth, N.H.;;;Die Ehe der Luise Rohrbach;
345;In the Watches of the Night;;;;;;;Broncho Billy, Sheepman;;;;Transport de la cloche de l'indépendance;La foule après la revue des troupes;Female Wrestlers;;;Ringende Seelen;
346;His Lost Love;;;;;;;Broncho Billy Misled;;;;Lancement d'un navire;Les tirailleurs;The Life of an American Cowboy;;;Das Rätsel von Bangalor;
347;The Seventh Day;;;;;;;Broncho Billy and the Card Sharp;;;;The Turn-of-the-Century Blind Man;Revue des troupes;The Bandit Makes Good;;;Die Frau mit den Orchideen;
348;The Necklace;;;;;;;Broncho Billy and the Lumber King;;;;Enfants aux jouets;Défilé de l’infanterie de marine;The Baseball Fan;;;Eine Motte flog zum Licht;
349;The Mexican Sweethearts;;;;;;;Broncho Billy Begins Life Anew;;;;A Street Arab;Maillane : la farandole, la valse;Western Justice;;;Drohende Wolken am Firmament;
350;His Duty;;;;;;;Her Return;;;;Walking Troubles of Organic Hemiplegy;Maillane : la farandole, le pont;Der var engang;;;Frühlingsstürme im Herbste des Lebens;
351;The Wood Nymph;;;;;;;Broncho Billy's Marriage;;;;Serpentine Dance - Annabelle;Maillane : la farandole de front;The Merry Widow;;;Es fiel ein Reif in der Frühlingsnacht;
352;A Romance of the Western Hills;;;;;;;Broncho Billy Steps In;;;;Sortie d'une noce à l'église;Fort-de-France : négrillons jouant sous les arbres;Voleurs noctambules;;;Die Seele einer Frau;
353;The Little Teacher;;;;;;;Broncho Billy's Protégé;;;;Blackfriars Bridge;Fort-de-France : femmes portant des corbeilles;Mais dépêchez-vous donc!;;;Die nach Glück und Liebe suchen;
354;Ghosts;;;;;;;The Little Prospector;;;;Berlin: Panoptikum;Carrosses de la cour. Fin du cortège;Les inconvénients du cinématographe;;;Des Lebens ungemischte Freude;
355;Trying to Get Arrested;;;;;;;The Wealth of the Poor;;;;The Miller and the Sweep;Hussards et dragons;Le sacrifice;;;Der Seele Saiten schwingen nicht;
356;A Girl of the Timber Claims;;;;;;;The Revenue Agent;;;;The Attempt Against the Life of Maitre Labori;Royal regiment d’artillerie;Le mystère de la montagne;;;Auf des Lebens rauher Bahn;
357;Fifty-Fifty;;;;;;;Andy of the Royal Mounted;;;;Cortège au mariage de la princesse Maud;Irish Guards. Scots Guards;La bonne farce;;;Die Landstreicher;
358;The Zulu's Heart;;;;;;;The Outlaw's Awakening;;;;Les clowns Price;Armée indienne;J'ai gagné un cochon;;;Der Hund von Baskerville, 4. Teil - Die Sage vom Hund von Baskerville;
359;Two Memories;;;;;;;The Western Way;;;;Belfast, pompiers : Un Incendie, I;Bataillon Royal Irish Regiment;Franco-British Exhibition;;;Der Hund von Baskerville, 3. Teil - Das unheimliche Zimmer;
360;The Music Master;;;;;;;When Love and Honor Called;;;;Bruxelles, Boulevard Anspach;Troupes coloniales;Dans le sous-marin;;;Der Hund von Baskerville, 2. Teil - Das einsame Haus;
361;His Daughter;;;;;;;Broncho Billy's Double Escape;;;;Buffalo Fire Department in action;Cortège. Musique des Household et corps des volontaires;The Tragic Corso;;;Kain;
362;The Golden Supper;;;;;;;The Tell-Tale Hand;;;;Robetta and Doretto, No. 1;Biskra : enfants indigènes ramassant des pièces de monnaie;Commissionnaire par occasion;;;Ahasver, 3. Teil;
363;The Cardinal's Conspiracy;;;;;;;Snakeville's Reform Wave;;;;"Two AM; or, The Husband's Return";Entrée du “Charlemagne” à Bizerte;Cent francs à qui rapportera;;;Es werde Licht! 4. Teil: Sündige Mütter;
364;Fools of Fate;;;;;;;Sophie's Fatal Wedding;;;;Ella Lola, a la Trilby;Revue du Bardo : délégations tunisiennes;Terreur en Russie;;;Es werde Licht! 3. Teil;
365;The Salvation Army Lass;;;;;;;Broncho Billy's Judgment;;;;Dragoons Crossing the Sâone;Revue du Bardo : cavalerie;Rouget le braconnier;;;Wenn Menschen reif zur Liebe werden;
366;The Fascinating Mrs. Francis;;;;;;;A Horse on Sophie;;;;The Vanishing Lady;Revue du Bardo : commencement du défilé. État-major. Pompiers;Roland und Viktoria;;;Rafaela;
367;The Sacrifice;;;;;;;Broncho Billy's Decision;;;;Buffalo Stockyards;M. le président descendant l’escalier du Bardo;Les voleurs incendiaires;;;Die Liebe des van Royk;
368;A Rural Elopement;;;;;;;Sophie and the Man of Her Choice;;;;Carnaval, [VIII];Le cortège à Constantine;Les vieux marcheurs;;;Der Weg ins Freie;
369;Love Finds a Way;;;;;;;Broncho Billy's Mission;;;;Rip Van Winkle;Défilé des chameaux avec les Bassours;The Coachwomen;;;Der provisorische Ehemann;
370;The Honor of Thieves;;;;;;;Broncho Billy's Scheme;;;;Life Guards and Princes North of St Paul's;M. le président se rend au déjeuner en gare de Perrégaux;Les faux monnayeurs;;;Frau Annas Pilgerfahrt;
371;The Maniac Cook;;;;;;;Broncho Billy's Mother;;;;Carmaux: Drawing Out the Coke;M. le président se rendant au déjeuner à Sidi-Bel-Abbès;Les chiens policiers;;;Die Erzkokette;
372;One Touch of Nature;;;;;;;Snakeville and the Corset Demonstrator;;;;Jérusalem : porte de Jaffa, côté Est;Arrivée de M. le président à Sidi-Bel-Abbès;Le gendarme a du flair;;;Fürst Seppl;
373;The Helping Hand;;;;;;;Broncho Billy -- Favorite;;;;Billy Edwards and the Unknown;Arrivée de M. le président à Saint-Denis-du-Sig;Le coucher de la mariée;;;Der Fall Dombronowska;
374;The Christmas Burglars;;;;;;;Broncho Billy Rewarded;;;;Pack Train at Chilkoot Pass;Le cortège à Pointe-Pescade;Le cake-walk forcé;;;Harte Zeiten;
375;The Rose of Kentucky;;;;;;;Snakeville's Peace-Maker;;;;Skeleton of Horse;Le cortège à Chéragas;La planche;;;Ilse und ihre drei Freier;
376;Billy's Stratagem;;;;;;;When Slippery Slim Met the Champion;;;;The Hornbacker-Murphy Fight;M. le président au palais d’été, à Mustapha;La course des belles-mères;;;Der Schein trügt;
377;Love Among the Roses;;;;;;;Broncho Billy Trapped;;;;Dreyfus Put in Irons;La remise des décorations;La course au parasol;;;Pantoffelhelden;
378;A Strange Meeting;;;;;;;Slippery Slim Gets Cured;;;;Pistol Duel;Arrivée à la revue d’Alger de la délégation anglaise;Moir-Burns Boxing Match;;;Zum Attentat gegen das österreichische Thronfolgerpaar;
379;The Test of Friendship;;;;;;;The Strategy of Broncho Billy's Sweetheart;;;;Place du Pont;M. le président montant à la tribune pour la revue;La chasse à l'automobiliste;;;Cocl als Hausherr;
